date,time,contact_date,sex,race,age,ethnicity,was_frisked,contact_officer,zip,circumstance,basis,key_situations,weather,vehicle_involved
2022-01-12,18:52:00,2022-01-12 18:52:00,Male,Other,15,Hispanic Origin,1,157673,02124,Stopped,Probable Cause,NULL,NULL,FALSE
2022-01-12,21:00:00,2022-01-12 21:00:00,Male,White,56,Not of Hispanic Origin,0,152930,02118,Stopped,Probable Cause,NULL,NULL,FALSE
2022-01-12,22:10:00,2022-01-12 22:10:00,Male,White,59,Not of Hispanic Origin,0,162964,02111,Stopped,Reasonable Suspicion,NULL,NULL,FALSE
2022-01-12,22:10:00,2022-01-12 22:10:00,Male,Black,51,Unknown,0,162964,02111,Stopped,Reasonable Suspicion,NULL,NULL,FALSE
2022-01-12,22:10:00,2022-01-12 22:10:00,Female,White,35,Not of Hispanic Origin,0,162964,02111,Stopped,Reasonable Suspicion,NULL,NULL,FALSE
2022-01-12,18:15:00,2022-01-12 18:15:00,Male,Black,28,Not of Hispanic Origin,0,NA,NA,NA,NA,NA,NA,FALSE
2022-01-13,00:41:00,2022-01-13 00:41:00,Male,White,29,Not of Hispanic Origin,0,056354,02127,Stopped,Probable Cause,NULL,NULL,FALSE
2022-01-13,00:41:00,2022-01-13 00:41:00,Male,White,47,Unknown,0,056354,02127,Stopped,Probable Cause,NULL,NULL,FALSE
2022-01-13,00:49:00,2022-01-13 00:49:00,Male,Black,24,NULL,1,157665,02118,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-13,NA,2022-01-13,Female,NA,32,NULL,0,153076,02126,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-13,09:35:00,2022-01-13 09:35:00,Male,Asian,21,Not of Hispanic Origin,1,144314,02134,Stopped,Reasonable Suspicion,NULL,NULL,FALSE
2022-01-13,10:30:00,2022-01-13 10:30:00,NA,White,NA,NULL,0,153329,02116,Observed,Reasonable Suspicion,NULL,NULL,FALSE
2022-01-13,10:30:00,2022-01-13 10:30:00,Female,White,31,Not of Hispanic Origin,0,153111,02118,Observed,Encounter,NULL,NULL,TRUE
2022-01-13,12:20:00,2022-01-13 12:20:00,Male,Black,33,NULL,1,153073,02118,Stopped,Probable Cause,NULL,NULL,FALSE
2022-01-13,11:30:00,2022-01-13 11:30:00,Male,Black,42,Not of Hispanic Origin,0,138600,02121,Encountered,Probable Cause,NULL,NULL,FALSE
2022-01-13,14:45:00,2022-01-13 14:45:00,Male,Black,18,Not of Hispanic Origin,0,140330,02118,Observed,Intel,NULL,NULL,FALSE
2022-01-12,21:24:00,2022-01-12 21:24:00,Male,Black,48,Unknown,0,140330,02118,Observed,Intel,NULL,NULL,TRUE
2022-01-13,15:25:00,2022-01-13 15:25:00,Male,Black,37,Not of Hispanic Origin,0,144336,02124,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-13,16:00:00,2022-01-13 16:00:00,Male,White,58,Unknown,0,153329,02118,Stopped,Reasonable Suspicion,NULL,NULL,FALSE
2022-01-13,17:15:00,2022-01-13 17:15:00,Male,White,29,Not of Hispanic Origin,0,144840,02136,Stopped,Reasonable Suspicion,NULL,NULL,FALSE
2022-01-13,18:30:00,2022-01-13 18:30:00,Male,Black,23,Not of Hispanic Origin,0,164099,02118,Observed,Intel,NULL,NULL,FALSE
2022-01-13,12:00:00,2022-01-13 12:00:00,Male,Asian,42,Not of Hispanic Origin,1,103784,02119,Stopped,Reasonable Suspicion,NULL,NULL,TRUE
2022-01-13,20:15:00,2022-01-13 20:15:00,NA,White,NA,Not of Hispanic Origin,0,164099,02115,Encountered,Reasonable Suspicion,NULL,NULL,FALSE
2022-01-13,16:14:00,2022-01-13 16:14:00,Male,Black,26,Not of Hispanic Origin,0,NA,NA,NA,NA,NA,NA,FALSE
2022-01-13,18:42:00,2022-01-13 18:42:00,Male,Black,29,Not of Hispanic Origin,1,099722,02124,Encountered,Reasonable Suspicion,NULL,NULL,FALSE
2022-01-13,22:30:00,2022-01-13 22:30:00,Male,Black,40,Not of Hispanic Origin,1,152615,02119,Stopped,Intel,NULL,NULL,TRUE
2022-01-13,10:00:00,2022-01-13 10:00:00,Male,Black,43,Not of Hispanic Origin,0,137596,02121,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-14,02:19:00,2022-01-14 02:19:00,NA,Black,NA,NULL,0,153081,02124,Observed,Intel,NULL,NULL,TRUE
2022-01-14,02:34:00,2022-01-14 02:34:00,Male,White,18,NULL,1,114015,02121,Stopped,Reasonable Suspicion,NULL,NULL,FALSE
2022-01-14,08:10:00,2022-01-14 08:10:00,NA,Black,NA,NULL,0,010801,02118,Observed,Reasonable Suspicion,NULL,NULL,TRUE
2022-01-14,10:45:00,2022-01-14 10:45:00,Male,Black,20,Not of Hispanic Origin,0,111241,02114,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-14,10:45:00,2022-01-14 10:45:00,Male,Black,21,Not of Hispanic Origin,0,111241,02114,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-14,14:20:00,2022-01-14 14:20:00,NA,NA,NA,NULL,0,126514,02124,Stopped,Reasonable Suspicion,NULL,NULL,FALSE
